domain,CDN,IP
bio.baidu.com,No,"['10.50.14.199', '10.36.7.104']"
profile.baidu.com,No,['10.58.177.42']
law.baidu.com,No,['111.206.37.194']
japan.baidu.com,No,['119.63.198.175']
act.baidu.com,No,['180.101.49.192']
apollo.baidu.com,No,['123.125.115.15']
sl.baidu.com,No,['180.97.104.235']
gd.baidu.com,No,['10.57.239.38']
earth.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
wm.baidu.com,No,"['115.239.210.106', '115.239.210.100']"
xs.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
study.baidu.com,No,['180.101.212.35']
bh.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
xh.baidu.com,No,['10.208.7.65']
ph.baidu.com,No,['10.65.3.117']
nagios.baidu.com,No,['10.26.109.19']
zeus.baidu.com,No,['10.46.229.22']
ceshi.baidu.com,No,['10.26.109.19']
nt.baidu.com,No,['10.99.83.43']
red.baidu.com,No,"['10.91.160.44', '10.26.3.240', '10.42.4.86', '10.36.4.130']"
mc.baidu.com,No,['180.101.49.20']
xf.baidu.com,No,['115.239.210.77']
gps.baidu.com,No,['10.242.116.21']
athena.baidu.com,No,['10.91.161.102']
conf.baidu.com,No,['106.120.159.95']
s2.baidu.com,No,['10.46.167.37']
star.baidu.com,No,"['180.149.144.20', '220.181.107.193']"
film.baidu.com,No,['180.149.131.33']
pluto.baidu.com,No,['10.99.218.166']
mt.baidu.com,No,['10.208.6.11']
ims.baidu.com,No,['10.42.186.12']
ie.baidu.com,No,['180.149.144.203']
www6.baidu.com,No,"['61.135.169.125', '61.135.169.105']"
blue.baidu.com,Yes,['114.80.30.35']
mg.baidu.com,No,['220.181.38.192']
engineering.baidu.com,No,['10.100.46.52']
sun.baidu.com,No,['10.46.11.23']
o.baidu.com,No,['10.57.13.104']
dh.baidu.com,No,['180.149.144.203']
l.baidu.com,No,['180.149.144.203']
sa.baidu.com,No,['10.94.35.13']
eas.baidu.com,No,['10.207.7.92']
ccs.baidu.com,No,"['10.16.80.154', '10.180.113.175']"
gy.baidu.com,No,"['10.194.61.37', '10.194.61.22']"
plus.baidu.com,No,"['10.212.6.106', '10.212.6.107']"
www8.baidu.com,No,"['61.135.169.125', '61.135.169.105']"
hybrid.baidu.com,No,"['180.97.34.232', '180.97.93.28']"
bank.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
venus.baidu.com,No,['10.94.52.44']
cat.baidu.com,No,['220.181.33.17']
vod.baidu.com,No,['220.181.44.133']
router.baidu.com,No,['10.65.211.124']
titan.baidu.com,No,['10.99.31.41']
ht.baidu.com,No,['180.97.104.216']
la.baidu.com,No,['10.83.128.238']
box.baidu.com,No,['180.76.141.217']
webserver.baidu.com,No,['10.26.214.75']
km.baidu.com,No,['10.42.7.54']
webapp.baidu.com,No,['10.95.36.21']
focus.baidu.com,No,"['10.50.13.243', '10.57.13.25']"
portfolio.baidu.com,No,['106.120.159.50']
translate.baidu.com,No,['220.181.33.17']
www9.baidu.com,No,"['61.135.169.125', '61.135.169.105']"
lady.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
dp.baidu.com,No,['10.99.54.20']
source.baidu.com,No,['106.120.159.176']
webmaster.baidu.com,No,['123.125.115.62']
lm.baidu.com,No,"['180.97.33.151', '180.101.212.63']"
banner.baidu.com,No,['180.97.36.41']
sky.baidu.com,No,['10.46.104.43']
ep.baidu.com,No,['10.65.211.57']
man.baidu.com,No,['10.227.73.168']
logs.baidu.com,No,['10.65.43.129']
gold.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
sr.baidu.com,No,['180.149.131.33']
sn.baidu.com,No,['180.101.49.161']
tx.baidu.com,No,"['10.208.6.174', '10.208.6.173']"
antivirus.baidu.com,No,['103.235.46.69']
solar.baidu.com,No,['10.99.54.20']
tm.baidu.com,No,['106.120.159.234']
adv.baidu.com,No,['10.99.57.42']
com.baidu.com,No,['10.26.137.29']
internet.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
disk.baidu.com,No,['180.149.144.203']
ren.baidu.com,No,['180.101.212.39']
counter.baidu.com,No,"['180.101.49.11', '180.101.49.12']"
hf.baidu.com,No,['10.99.49.60']
tb.baidu.com,No,['10.143.152.18']
01.baidu.com,No,"['180.101.212.65', '180.101.49.147']"
audit.baidu.com,No,['10.42.3.128']
ns6.baidu.com,No,['14.215.179.57']
eagle.baidu.com,No,['10.202.105.28']
sec.baidu.com,No,['202.106.2.63']
check.baidu.com,No,['10.46.11.136']
m2.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
xian.baidu.com,No,['180.97.33.34']
cars.baidu.com,No,['180.97.33.90']
safe.baidu.com,No,['180.101.212.32']
che.baidu.com,No,['180.97.104.109']
mse.baidu.com,No,['180.101.49.124']
wow.baidu.com,No,['10.42.3.141']
system.baidu.com,No,['10.26.109.19']
kk.baidu.com,No,['182.61.200.216']
pics.baidu.com,No,['180.97.33.208']
trip.baidu.com,No,['180.97.33.123']
gp.baidu.com,No,['106.120.159.50']
gk.baidu.com,No,['180.101.212.35']
flow.baidu.com,No,['10.46.23.19']
moa.baidu.com,No,"['202.106.2.51', '183.232.232.54', '180.101.49.156']"
mx3.baidu.com,No,['61.135.162.61']
nexus.baidu.com,No,['10.40.8.67']
credit.baidu.com,No,"['220.181.38.171', '220.181.38.187']"
join.baidu.com,No,"['180.149.144.141', '14.215.177.97']"
wifi.baidu.com,No,['180.97.104.162']
mini.baidu.com,No,['180.149.144.203']
orange.baidu.com,No,['101.89.128.48']
hot.baidu.com,No,['180.149.144.203']
vcs.baidu.com,No,['61.135.165.170']
fang.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
ipv6.baidu.com,No,"['220.181.38.251', '123.125.114.144', '220.181.38.148', '39.156.66.10']"
csr.baidu.com,No,['180.76.178.149']
lx.baidu.com,No,['10.212.6.188']
case.baidu.com,No,['10.99.209.45']
sem.baidu.com,Yes,['58.211.137.1']
tiger.baidu.com,No,['10.46.28.36']
www12.baidu.com,No,"['61.135.169.105', '61.135.169.125']"
nm.baidu.com,No,['182.61.62.50']
ares.baidu.com,No,['10.208.7.183']
elastic.baidu.com,No,['111.206.37.160']
nginx.baidu.com,No,['10.36.5.156']
find.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
www10.baidu.com,No,"['61.135.169.105', '61.135.169.125']"
amp.baidu.com,No,"['10.50.14.165', '10.26.5.60']"
yt.baidu.com,No,['180.97.33.25']
op.baidu.com,No,"['123.125.115.174', '123.125.115.209']"
wa.baidu.com,No,['10.207.7.95']
database.baidu.com,No,['10.26.109.19']
wd.baidu.com,No,['10.57.13.230']
advertising.baidu.com,No,['180.97.33.34']
ab.baidu.com,No,"['220.181.107.171', '220.181.107.170']"
m1.baidu.com,No,"['180.101.49.19', '180.101.49.20']"
ka.baidu.com,No,"['10.42.3.102', '10.81.211.194']"
alert.baidu.com,No,['106.120.159.95']
bus.baidu.com,No,['180.97.33.34']
rds.baidu.com,No,['10.26.88.12']
pv.baidu.com,No,['10.210.193.19']
hydra.baidu.com,No,['14.215.177.156']
cmp.baidu.com,No,['10.242.76.34']
traffic.baidu.com,No,['10.242.15.216']
city.baidu.com,No,['180.97.33.90']
ck.baidu.com,No,['106.120.159.243']
et.baidu.com,No,['10.206.217.30']
fk.baidu.com,No,['180.163.198.37']
retail.baidu.com,No,['220.181.38.141']
df.baidu.com,No,['10.36.4.130']
li.baidu.com,No,['10.91.160.188']
robot.baidu.com,No,['220.181.33.237']
xmpp.baidu.com,No,['61.135.165.169']
lj.baidu.com,No,['10.202.6.134']
ko.baidu.com,No,['180.97.104.164']
knowledge.baidu.com,No,"['111.206.37.169', '10.88.46.23']"
pi.baidu.com,No,"['220.181.107.199', '220.181.107.200']"
io.baidu.com,No,['10.46.104.43']
soc.baidu.com,No,['10.215.7.49']
healthcare.baidu.com,No,"['180.101.49.147', '180.101.212.65']"
oc.baidu.com,No,['10.207.6.76']
touch.baidu.com,No,['111.202.114.50']
2012.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
mon.baidu.com,No,['10.65.211.16']
msa.baidu.com,No,['10.26.7.88']
11.baidu.com,No,['220.181.57.55']
2014.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
abs.baidu.com,No,['180.149.144.4']
lv.baidu.com,No,['180.97.33.123']
civil.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
aries.baidu.com,No,['10.95.34.44']
lian.baidu.com,No,['220.181.33.228']
yule.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
er.baidu.com,No,['10.58.182.14']
chang.baidu.com,No,['182.61.62.50']
vega.baidu.com,No,"['10.26.5.60', '10.50.14.165']"
care.baidu.com,No,['10.46.104.43']
pulse.baidu.com,No,"['10.57.8.26', '10.42.4.219']"
dcs.baidu.com,No,['10.52.102.56']
sea.baidu.com,No,['10.62.141.21']
bridge.baidu.com,No,['10.42.7.117']
ecs.baidu.com,No,"['10.26.3.240', '10.46.7.36', '10.91.160.44']"
isis.baidu.com,No,['10.215.7.119']
policy.baidu.com,No,"['123.125.115.231', '180.101.212.24', '183.232.232.53']"
mf.baidu.com,No,['180.97.33.157']
visa.baidu.com,No,['10.207.7.95']
bp.baidu.com,No,['10.46.129.37']
callback.baidu.com,No,"['123.125.115.174', '123.125.115.209']"
piwik.baidu.com,No,['10.95.28.33']
mx4.baidu.com,No,['61.135.162.62']
trade.baidu.com,No,['106.120.159.50']
aurora.baidu.com,No,['10.26.26.28']
ocean.baidu.com,No,['10.26.3.48']
plan.baidu.com,No,['10.36.155.43']
vs.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
zabbix.baidu.com,No,['10.42.3.13']
darwin.baidu.com,No,['10.95.44.43']
cap.baidu.com,No,"['61.135.185.242', '180.97.104.99']"
comic.baidu.com,No,['10.65.45.219']
imc.baidu.com,No,['182.61.62.50']
wz.baidu.com,No,"['180.97.93.62', '180.97.93.61']"
janus.baidu.com,No,"['10.26.26.214', '10.206.7.110']"
idm.baidu.com,No,['10.207.7.147']
csp.baidu.com,No,['10.83.128.237']
lion.baidu.com,No,['10.242.112.16']
mx15.baidu.com,No,['220.181.50.182']
aps.baidu.com,No,['10.46.248.42']
bar.baidu.com,No,['115.239.217.137']
dv.baidu.com,No,"['106.120.159.70', '220.181.33.93']"
storm.baidu.com,No,['10.26.26.238']
prism.baidu.com,No,['10.26.5.199']
oem.baidu.com,No,['10.94.21.21']
quality.baidu.com,No,['10.100.81.72']
mcp.baidu.com,No,['14.215.177.54']
qt.baidu.com,No,['10.199.7.14']
scm.baidu.com,No,['10.42.8.234']
avatar.baidu.com,No,['10.26.137.29']
chart.baidu.com,No,['180.149.144.174']
notebook.baidu.com,No,['10.199.28.35']
qr.baidu.com,No,['10.207.7.202']
np.baidu.com,No,"['10.23.239.95', '10.23.245.224', '10.23.239.99']"
wo.baidu.com,No,['180.149.144.203']
galileo.baidu.com,No,"['10.91.161.205', '10.46.8.70']"
spa.baidu.com,No,"['10.23.23.42', '10.36.129.36', '10.26.23.36']"
wan.baidu.com,No,['180.97.33.25']
xz.baidu.com,No,['180.97.33.90']
cdc.baidu.com,No,"['10.26.5.60', '10.50.14.165']"
spark.baidu.com,No,['103.235.46.26']
brazil.baidu.com,No,['123.125.114.144']
kw.baidu.com,No,['123.125.114.144']
agile.baidu.com,No,['10.42.7.95']
ecom.baidu.com,No,['172.18.0.180']
king.baidu.com,No,"['180.76.141.217', '180.76.183.17']"
pandora.baidu.com,No,['10.40.8.112']
xy.baidu.com,No,['123.125.115.231']
cts.baidu.com,No,['182.61.62.50']
scholar.baidu.com,No,"['180.101.49.11', '180.101.49.12']"
company.baidu.com,No,"['180.97.33.124', '180.101.212.79', '180.97.104.30']"
scan.baidu.com,No,['10.58.119.76']
owl.baidu.com,No,['10.94.43.18']
das.baidu.com,No,"['10.50.14.165', '10.26.5.60']"
360.baidu.com,No,['10.57.8.123']
csm.baidu.com,No,['180.149.144.203']
rec.baidu.com,No,"['10.26.3.75', '10.42.7.169']"
common.baidu.com,No,['10.50.82.58']
rainbow.baidu.com,No,"['180.97.104.61', '180.97.104.62']"
bike.baidu.com,No,"['180.97.93.61', '180.97.93.62']"
yx.baidu.com,No,['180.97.33.25']
m3.baidu.com,No,"['180.101.49.19', '180.101.49.20']"
flight.baidu.com,No,['14.215.177.233']
lcs.baidu.com,No,"['10.91.160.44', '10.26.3.240', '10.42.4.86', '10.208.6.173', '10.36.4.130']"
oscar.baidu.com,No,['180.97.33.34']
prime.baidu.com,No,['10.99.54.21']
release.baidu.com,No,['180.97.33.96']
sac.baidu.com,No,"['123.125.114.52', '180.97.34.41', '123.125.114.54', '180.97.34.42']"
gaia.baidu.com,No,['10.86.36.51']
watch.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
mx11.baidu.com,No,['111.202.115.74']
you.baidu.com,No,['180.97.33.123']
eg.baidu.com,No,['123.125.114.144']
mx10.baidu.com,No,['111.202.115.75']
logo.baidu.com,No,['180.76.168.75']
fly.baidu.com,No,['10.99.25.43']
privacy.baidu.com,No,['123.125.115.231']
nba.baidu.com,No,['180.97.104.167']
mx14.baidu.com,No,['220.181.50.181']
gitlab.baidu.com,No,['10.44.64.103']
oms.baidu.com,No,['106.120.159.28']
root.baidu.com,No,['180.149.131.33']
watson.baidu.com,No,['10.211.6.64']
thailand.baidu.com,No,['103.235.46.165']
fashion.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
lu.baidu.com,No,['180.97.33.123']
itc.baidu.com,No,['10.242.15.73']
nova.baidu.com,No,['10.26.26.89']
bao.baidu.com,No,"['220.181.112.105', '36.110.198.89', '39.156.69.32', '123.125.142.73']"
falcon.baidu.com,No,"['10.26.26.88', '10.36.253.135']"
platform.baidu.com,No,['10.91.161.75']
url.baidu.com,No,['10.99.57.42']
uranus.baidu.com,No,['10.57.8.220']
cafe.baidu.com,No,['180.97.34.252']
cosmos.baidu.com,No,['10.23.250.252']
elasticsearch.baidu.com,No,['10.26.26.238']
wedding.baidu.com,No,['112.80.248.90']
mai.baidu.com,No,['180.149.145.241']
ucenter.baidu.com,No,['180.101.49.192']
private.baidu.com,No,['10.58.178.41']
ews.baidu.com,No,['111.202.115.84']
wall.baidu.com,No,['123.125.115.231']
mq.baidu.com,No,['10.92.16.61']
cmc.baidu.com,No,['10.36.7.221']
beian.baidu.com,No,['220.181.107.140']
hades.baidu.com,No,['10.57.8.21']
key.baidu.com,No,['10.99.36.20']
sta.baidu.com,No,['10.46.136.15']
radar.baidu.com,No,['220.181.107.221']
mirrors.baidu.com,No,['10.26.153.41']
ding.baidu.com,No,['10.42.3.14']
scp.baidu.com,No,['10.99.86.52']
yl.baidu.com,No,['202.106.2.50']
rsa.baidu.com,No,"['180.101.49.156', '183.232.232.54', '202.106.2.51']"
metric.baidu.com,No,['10.99.91.63']
mango.baidu.com,No,['10.99.57.42']
thunder.baidu.com,No,['10.57.167.58']
ke.baidu.com,No,['180.101.212.35']
eval.baidu.com,No,['10.95.29.20']
model.baidu.com,No,['10.38.109.33']
ups.baidu.com,No,['10.46.104.42']
asm.baidu.com,No,['10.99.87.18']
diy.baidu.com,No,['10.103.95.34']
apm.baidu.com,No,"['202.106.2.47', '111.206.223.105']"
resume.baidu.com,No,['10.58.98.34']
fox.baidu.com,No,['10.94.52.44']
esb.baidu.com,No,"['10.36.7.56', '10.26.7.218']"
run.baidu.com,No,['180.149.131.33']
castor.baidu.com,No,"['10.46.8.28', '10.42.3.21']"
dn.baidu.com,No,['180.163.198.49']
mx13.baidu.com,No,['220.181.3.74']
apitest.baidu.com,No,['10.99.29.34']
sitemap.baidu.com,No,['123.125.115.62']
bx.baidu.com,No,['180.149.145.167']
pmp.baidu.com,No,['180.97.104.203']
bsc.baidu.com,No,['10.42.7.122']
pat.baidu.com,No,['10.99.16.57']
sep.baidu.com,No,['10.48.46.43']
du.baidu.com,No,"['180.101.49.19', '180.101.49.20']"
libra.baidu.com,No,"['10.57.13.91', '10.26.26.213']"
oak.baidu.com,No,['119.75.222.180']
hudson.baidu.com,No,['10.46.126.23']
bis.baidu.com,No,['10.240.139.52']
stargate.baidu.com,No,"['10.50.13.243', '10.57.13.25']"
psa.baidu.com,No,['220.181.44.96']
mil.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
qb.baidu.com,No,['180.97.36.93']
emc.baidu.com,No,['10.100.78.51']
zr.baidu.com,No,['111.206.37.138']
dls.baidu.com,No,['180.76.179.76']
cop.baidu.com,No,"['10.26.5.60', '10.50.14.165']"
turing.baidu.com,No,['10.26.127.40']
p2p.baidu.com,No,"['220.181.33.93', '106.120.159.70']"
zc.baidu.com,No,['111.206.37.81']
mbox.baidu.com,No,['180.76.141.217']
or.baidu.com,No,['123.125.115.15']
aab.baidu.com,No,['180.97.93.88']
gaokao.baidu.com,No,['180.101.212.35']
sample.baidu.com,No,['10.42.7.162']
hx.baidu.com,No,"['10.42.6.62', '10.46.8.243']"
token.baidu.com,No,['180.97.104.89']
eye.baidu.com,No,['180.97.104.12']
m4.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
xing.baidu.com,No,['180.97.33.123']
gems.baidu.com,No,"['10.81.211.126', '10.42.5.46', '10.36.4.65']"
qh.baidu.com,No,['10.46.139.100']
i4.baidu.com,No,['180.163.198.49']
mapi.baidu.com,No,['180.149.131.33']
perseus.baidu.com,No,['10.50.136.72']
offline.baidu.com,No,['202.106.2.66']
t4.baidu.com,No,['180.163.198.48']
bts.baidu.com,No,['10.26.26.78']
g7.baidu.com,No,['180.101.49.20']
qy.baidu.com,No,"['220.181.107.149', '220.181.107.148', '14.215.177.34', '106.120.159.182']"
yh.baidu.com,No,['106.120.159.113']
fff.baidu.com,No,['180.97.104.14']
scc.baidu.com,No,['220.181.107.192']
artist.baidu.com,No,"['180.76.141.217', '180.76.183.17']"
xiu.baidu.com,No,['180.97.33.25']
trinity.baidu.com,No,['10.26.84.26']
story.baidu.com,Yes,['114.80.30.35']
child.baidu.com,No,"['180.97.93.62', '180.97.93.61']"
sat.baidu.com,No,['10.58.102.37']
picture.baidu.com,No,['180.97.33.134']
dba.baidu.com,No,"['10.58.159.36', '10.92.116.26']"
yuyue.baidu.com,No,['180.97.93.19']
stone.baidu.com,No,['10.99.35.41']
mx6.baidu.com,No,['202.108.22.171']
ivr.baidu.com,No,['180.97.93.58']
smp.baidu.com,No,['10.99.72.23']
sim.baidu.com,No,['10.83.128.155']
purple.baidu.com,No,['220.181.57.55']
test123.baidu.com,No,['10.10.10.10']
nfs.baidu.com,No,['10.215.79.55']
allen.baidu.com,No,"['10.57.8.26', '10.42.4.219']"
custom.baidu.com,No,['220.181.112.165']
shu.baidu.com,No,['10.195.6.219']
gandalf.baidu.com,No,"['220.181.107.145', '123.125.115.91', '112.34.112.37']"
launch.baidu.com,No,['10.94.66.52']
daohang.baidu.com,No,['202.106.2.64']
yb.baidu.com,No,['220.181.44.135']
bee.baidu.com,No,['10.111.80.223']
pinpai.baidu.com,No,['180.97.104.235']
tf.baidu.com,No,['180.163.198.37']
depot.baidu.com,No,"['10.212.15.213', '10.212.15.152']"
metis.baidu.com,No,['10.42.4.18']
g1.baidu.com,No,['180.101.49.20']
cha.baidu.com,No,['14.215.178.159']
xray.baidu.com,No,['180.97.33.185']
vortex.baidu.com,No,['10.215.7.104']
m6.baidu.com,No,"['180.101.49.19', '180.101.49.20']"
vis.baidu.com,No,['180.149.144.174']
amd.baidu.com,No,['10.65.3.121']
laser.baidu.com,No,['220.181.57.55']
ut.baidu.com,No,['10.23.248.87']
registry.baidu.com,No,['10.57.8.230']
gem.baidu.com,No,['10.36.7.54']
piao.baidu.com,No,['106.12.40.178']
kaoshi.baidu.com,No,['14.215.177.118']
dam.baidu.com,No,['10.40.8.63']
